"x","y"
-9.6940179169178,-25.4810819053394
-9.4963860638308,-24.9287365309006
-9.29875421074379,-24.3759273912414
-9.10112235765678,-23.8226544863617
-8.90349050456978,-23.2689178162617
-8.70585865148277,-22.7147173809412
-8.50822679839577,-22.1600531804002
-8.31059494530876,-21.6049252146389
-8.11296309222176,-21.0493334836571
-7.91533123913475,-20.4932779874549
-7.71769938604774,-19.9367587260322
-7.52006753296074,-19.3797756993891
-7.32243567987373,-18.8223289075256
-7.12480382678673,-18.2644183504417
-6.92717197369972,-17.7060440281373
-6.72954012061272,-17.1472059406125
-6.53190826752571,-16.5879040878673
-6.33427641443871,-16.0281384699016
-6.1366445613517,-15.4679090867155
-5.93901270826469,-14.907215938309
-5.74138085517769,-14.3460590246821
-5.54374900209068,-13.7844383458347
-5.34611714900368,-13.2223539017669
-5.14848529591667,-12.6598056924786
-4.95085344282967,-12.09679371797
-4.75322158974266,-11.5333179782409
-4.55558973665566,-10.9693784732913
-4.35795788356865,-10.4049752031214
-4.16032603048164,-9.84010816773099
-3.96269417739464,-9.27477736712017
-3.76506232430763,-8.70898280128892
-3.56743047122063,-8.14272447023724
-3.36979861813362,-7.57600237396513
-3.17216676504662,-7.00881651247259
-2.97453491195961,-6.44116688575961
-2.77690305887261,-5.87305349382622
-2.5792712057856,-5.30447633667239
-2.38163935269859,-4.73543541429813
-2.18400749961159,-4.16593072670344
-1.98637564652458,-3.59596227388832
-1.78874379343758,-3.02553005585276
-1.59111194035057,-2.45463407259679
-1.39348008726357,-1.88327432412037
-1.19584823417656,-1.31145081042354
-0.998216381089556,-0.739163531506267
-0.800584528002549,-0.166412487368563
-0.602952674915544,0.406802321989565
-0.405320821828537,0.980480896568129
-0.207688968741532,1.55462323636712
-0.0100571156545275,2.12922934138654
0.187574737432479,2.70429921162639
0.385206590519484,3.27983284708667
0.582838443606491,3.85583024776738
0.780470296693496,4.43229141366852
0.978102149780501,5.00921634479009
1.17573400286751,5.58660504113209
1.37336585595451,6.16445750269452
1.57099770904152,6.74277372947738
1.76862956212852,7.32155372148067
1.96626141521553,7.90079747870439
2.16389326830253,8.48050500114854
2.36152512138954,9.06067628881313
2.55915697447655,9.64131134169813
2.75678882756355,10.2224101598036
2.95442068065056,10.8039727431294
3.15205253373756,11.3859990916757
3.34968438682457,11.9684892054425
3.54731623991157,12.5514430844296
3.74494809299858,13.1348607286372
3.94257994608559,13.7187421380653
4.14021179917259,14.3030873127137
4.3378436522596,14.8878962525826
4.5354755053466,15.4731689576719
4.73310735843361,16.0589054279816
4.93073921152061,16.6451056635118
5.12837106460762,17.2317696642624
5.32600291769462,17.8188974302334
5.52363477078163,18.4064889614249
5.72126662386863,18.9945442578368
5.91889847695564,19.5830633194691
6.11653033004265,20.1720461463219
6.31416218312965,20.761492738395
6.51179403621666,21.3514030956886
6.70942588930366,21.9417772182027
6.90705774239067,22.5326151059372
7.10468959547767,23.1239167588921
7.30232144856468,23.7156821770674
7.49995330165169,24.3079113604632
7.69758515473869,24.9006043090793
7.8952170078257,25.493761022916
8.0928488609127,26.087381501973
8.29048071399971,26.6814657462505
8.48811256708671,27.2760137557484
8.68574442017372,27.8710255304668
8.88337627326073,28.4665010704055
9.08100812634773,29.0624403755647
9.27863997943474,29.6588434459444
9.47627183252174,30.2557102815444
9.67390368560875,30.8530408823649
9.87153553869575,31.4508352484058
